Magnitude,Depth,GeographicalRef,Date
3.2,124,66 km al NE de Calama,2022-11-09
2.5,31,30 km al O de San Antonio,2022-11-09
3.5,133,60 km al SO de Ollagüe,2022-11-09
3.4,245,63 km al S de Socaire,2022-11-09
3.7,117,52 km al SO de Mina Collahuasi,2022-11-09
2.8,50,89 km al O de Tongoy,2022-11-09
3.6,109,17 km al N de Calama,2022-11-09
2.9,99,37 km al S de Calama,2022-11-09
2.8,116,33 km al E de Los Andes.,2022-11-09
2.6,119,31 km al NE de Calama,2022-11-09
2.9,26,58 km al NO de Cobquecura,2022-11-09
3.0,39,18 km al NO de Vichuquén,2022-11-09
3.1,24,26 km al SO de Punitaqui,2022-11-09
3.5,222,68 km al SE de Socaire,2022-11-09
3.0,62,21 km al NE de Quillota,2022-11-09
